"","Year","Country","StudentProtestCount","AllProtestCount","Control.of.Corruption..Estimate","Government.Effectiveness..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate.1","income","protest.ratio"
"1",2014,"South Africa",3,93,-0.0614517,0.3407953,-0.146389,0.1827036,5721.967,0.032258064516129
"2",2015,"Afghanistan",2,4820,-1.342216,-1.323176,-2.571222,-1.504086,516.9467,0.0004149377593361
"3",2015,"Bangladesh",29,4623,-0.8084212,-0.723855,-1.212018,-0.7513467,1219.151,0.00627298291152931
"4",2015,"Benin",1,408,-0.5508423,-0.6198767,-0.013514,-0.5360809,958.778,0.00245098039215686
"5",2015,"Canada",3,10403,1.887181,1.761729,1.274698,1.84192,35263.23,0.000288378352398347
"6",2015,"Chile",1,3535,1.280415,1.085782,0.4334392,1.343957,11235.79,0.000282885431400283
"7",2015,"China",8,16748,-0.2820595,0.4075751,-0.5502946,-0.4098733,6039.743,0.000477668975400048
"8",2015,"France",1,18638,1.286498,1.448122,0.1067064,1.398506,30879.84,5.36538255177594e-05
"9",2015,"Ghana",1,2105,-0.1887468,-0.2224221,-0.0320993,0.142304,1380.65,0.000475059382422803
"10",2015,"Greece",3,11132,-0.0873486,0.1770223,-0.2302524,0.2769418,14989.53,0.000269493352497305
"11",2015,"Guatemala",1,2558,-0.7332659,-0.7112794,-0.6550602,-0.9473416,3416.109,0.000390930414386239
"12",2015,"Haiti",2,1648,-1.237718,-2.016466,-0.6708382,-1.180691,1329.526,0.00121359223300971
"13",2015,"Honduras",1,1887,-0.566732,-0.8218005,-0.4689144,-0.9256861,2009.239,0.000529941706412295
"14",2015,"India",143,46133,-0.3519882,0.0900683,-0.9484934,-0.0474092,1405.18,0.00309973337957644
"15",2015,"Israel",6,31487,0.9433662,1.387448,-1.094913,1.162157,30811.09,0.000190554832152952
"16",2015,"Kenya",13,2696,-1.013617,-0.3015067,-1.244406,-0.4882332,1090.263,0.00482195845697329
"17",2015,"Lebanon",1,5039,-0.8838731,-0.4745394,-1.702587,-0.8257188,6204.191,0.000198452073824171
"18",2015,"Liberia",8,623,-0.6454833,-1.357274,-0.8180257,-0.8566647,389.9621,0.0128410914927769
"19",2015,"Malawi",1,458,-0.7666516,-0.6664509,0.0318961,-0.3069656,299.8452,0.00218340611353712
"20",2015,"Mexico",11,12771,-0.7660108,0.2092917,-0.7986991,-0.4471673,7625.253,0.000861326442721792
"21",2015,"Morocco",2,3648,-0.2202772,-0.0623169,-0.3414874,-0.0890306,2513.511,0.000548245614035088
"22",2015,"Nepal",2,4370,-0.5780753,-1.053868,-0.9983346,-0.6769011,856.5601,0.00045766590389016
"23",2015,"Netherlands",8,3154,1.875101,1.859105,0.9261193,1.942948,37497.22,0.00253646163601776
"24",2015,"Nigeria",17,14582,-1.079542,-0.9590327,-1.925443,-0.9616836,2299.911,0.00116582087505143
"25",2015,"Pakistan",20,17366,-0.8108425,-0.667757,-2.482708,-0.766732,1256.6,0.00115167568812622
"26",2015,"Papua New Guinea",2,199,-0.9399223,-0.6067827,-0.4221483,-0.8693526,2195.424,0.0100502512562814
"27",2015,"Philippines",2,4106,-0.4534664,0.1119681,-0.8556625,-0.3429787,3045.639,0.000487092060399416
"28",2015,"Saudi Arabia",2,6621,0.0522682,0.1996553,-0.626399,0.1177256,16895.94,0.00030206917384081
"29",2015,"South Africa",157,11801,0.0252705,0.2915252,-0.2129929,0.0881371,5190.808,0.0133039572917549
"30",2015,"Sri Lanka",7,3268,-0.3441233,-0.0095256,0.0903681,0.0372322,3476.395,0.00214198286413709
"31",2015,"Sudan",5,2621,-1.466719,-1.476073,-2.162183,-1.211051,1183.458,0.00190766882869134
"32",2015,"Thailand",1,2861,-0.4934061,0.3498439,-0.9944293,-0.1477922,4463.394,0.00034952813701503
"33",2015,"Uganda",2,1259,-1.051799,-0.4849258,-0.8045017,-0.3903005,643.5504,0.00158856235107228
"34",2015,"Ukraine",1,23729,-0.9800457,-0.5238288,-1.9618,-0.8136155,1934.419,4.21425260230098e-05
"35",2015,"United States",60,134253,1.39741,1.463184,0.6780624,1.595975,49198.88,0.000446917387320954
"36",2015,"Zambia",4,639,-0.3412287,-0.5559088,0.1516949,-0.2297964,1079.388,0.00625978090766823
"37",2015,"Zimbabwe",2,2534,-1.310675,-1.158085,-0.6181563,-1.317583,1250.123,0.000789265982636148
"38",2016,"Afghanistan",2,6977,-1.526172,-1.226401,-2.671054,-1.498478,478.7606,0.000286656155940949
"39",2016,"Argentina",1,7476,-0.2839309,0.1618781,0.2046255,-0.3937469,10798.26,0.000133761369716426
"40",2016,"Australia",5,11320,1.816108,1.568043,1.047958,1.755667,39056,0.000441696113074205
"41",2016,"Bangladesh",13,7697,-0.8569472,-0.678781,-1.261937,-0.6636689,1359.057,0.00168896972846564
"42",2016,"Belgium",4,6812,1.574584,1.433041,0.4413673,1.429943,34479.34,0.000587199060481503
"43",2016,"Benin",4,504,-0.5133145,-0.5643299,-0.0020272,-0.6087622,968.5366,0.00793650793650794
"44",2016,"Chile",2,3904,1.140084,1.010372,0.4131105,1.129331,11065.91,0.000512295081967213
"45",2016,"China",22,22130,-0.2539508,0.3545941,-0.499395,-0.3345477,6145.743,0.000994125621328513
"46",2016,"Colombia",2,5218,-0.3241391,0.0152157,-0.8824593,-0.2789232,4973.529,0.000383288616328095
"47",2016,"Croatia",1,1690,0.21198,0.5035605,0.6637695,0.3843882,10207.58,0.000591715976331361
"48",2016,"Eswatini",5,140,-0.4499788,-0.5785232,-0.4887168,-0.3686543,2697.501,0.0357142857142857
"49",2016,"Ethiopia",3,4994,-0.416919,-0.6384845,-1.619813,-0.492503,562.0469,0.000600720865038046
"50",2016,"France",8,29047,1.370064,1.416434,-0.0953591,1.386726,31128.18,0.000275415705580611
"51",2016,"Georgia",3,754,0.6854092,0.5179425,-0.3132915,0.3836238,3259.553,0.00397877984084881
"52",2016,"Ghana",5,2591,-0.1489119,-0.1685113,-0.1309286,0.0487039,1541.678,0.00192975685063682
"53",2016,"Greece",2,16652,-0.1016083,0.1577258,-0.1215992,0.1353244,14884.97,0.000120105693009849
"54",2016,"Iceland",2,996,1.949479,1.385293,1.361624,1.519659,49904.75,0.00200803212851406
"55",2016,"India",506,64934,-0.2821474,0.0749455,-0.9538398,-0.0289695,1505.454,0.00779252779745588
"56",2016,"Iraq",4,13475,-1.386793,-1.267562,-2.313588,-1.6259,3621.899,0.000296846011131725
"57",2016,"Ireland",5,4470,1.692659,1.364627,0.8478189,1.502176,36254.02,0.00111856823266219
"58",2016,"Israel",9,30747,1.186837,1.345055,-0.7945364,1.072231,32061.78,0.000292711484047224
"59",2016,"Italy",3,14115,0.1159535,0.5785035,0.3694153,0.3939919,25499.98,0.000212539851222104
"60",2016,"Japan",3,7680,1.524966,1.821532,0.9829442,1.421093,30784.73,0.000390625
"61",2016,"Kenya",8,5566,-0.8926454,-0.3251143,-1.354791,-0.4406989,1277.228,0.00143729787998563
"62",2016,"Liberia",14,678,-0.7214805,-1.278961,-0.4374078,-0.9453741,379.5684,0.0206489675516224
"63",2016,"Libya",1,3537,-1.6265,-1.891865,-2.28333,-1.817025,3736.815,0.000282725473565168
"64",2016,"Malawi",3,797,-0.7565478,-0.7261133,-0.1134786,-0.3754695,255.6196,0.00376411543287327
"65",2016,"Mexico",5,21090,-0.7194722,0.1316671,-0.6290694,-0.5563735,6902.43,0.000237079184447606
"66",2016,"Morocco",3,5070,-0.1296134,-0.1064113,-0.3125735,-0.1584222,2524.322,0.000591715976331361
"67",2016,"Mozambique",2,454,-0.8748634,-0.8631648,-1.094005,-1.051538,335.538,0.00440528634361234
"68",2016,"Namibia",1,392,0.3329011,0.1670501,0.7100897,0.3626263,3855.738,0.00255102040816327
"69",2016,"Nepal",1,2591,-0.7997717,-0.8265509,-0.846812,-0.795664,845.4549,0.000385951370127364
"70",2016,"New Zealand",2,2115,2.283908,1.842496,1.519183,1.95464,33092.21,0.000945626477541371
"71",2016,"Nigeria",82,17321,-1.024854,-1.087596,-1.87771,-1.017473,1884.274,0.0047341377518619
"72",2016,"Pakistan",29,27472,-0.8753213,-0.6534616,-2.483173,-0.8045743,1266.013,0.00105562026790914
"73",2016,"Papua New Guinea",15,576,-0.9332389,-0.7375593,-0.5047721,-0.7766212,2074.527,0.0260416666666667
"74",2016,"Peru",2,4239,-0.3672633,-0.1788173,-0.2017269,-0.4821758,5244.772,0.000471809389006841
"75",2016,"Philippines",3,7311,-0.4881241,-0.0104617,-1.379819,-0.3550694,3123.559,0.000410340582683627
"76",2016,"Poland",2,8189,0.7813226,0.6533463,0.507242,0.6099276,10463.5,0.000244230064720967
"77",2016,"Qatar",2,1059,0.9008223,0.7351737,0.9002346,0.7942954,44756.23,0.00188857412653447
"78",2016,"Saudi Arabia",1,12253,0.2309858,0.2609961,-0.4648285,0.3375647,16724.49,8.16126662858076e-05
"79",2016,"Sierra Leone",9,330,-0.8189905,-1.170724,-0.1599265,-0.7775531,367.0428,0.0272727272727273
"80",2016,"South Africa",498,15266,0.1184792,0.3061665,-0.141504,0.1161583,4705.765,0.0326215118564129
"81",2016,"Sri Lanka",3,2938,-0.3106176,-0.0263917,-0.0040295,0.1105179,3511.296,0.0010211027910143
"82",2016,"Sudan",5,4114,-1.525485,-1.515171,-2.337218,-1.258443,950.3749,0.00121536217792902
"83",2016,"Sweden",5,6633,2.152424,1.699182,1.017941,1.993451,43645.7,0.000753806723955978
"84",2016,"Switzerland",5,4670,1.98834,2.008059,1.30629,1.947713,64490.41,0.00107066381156317
"85",2016,"Thailand",2,2459,-0.3888684,0.3417524,-0.9885814,-0.0049648,4629.461,0.000813338755591704
"86",2016,"Uganda",1,2507,-1.05659,-0.5713909,-0.7153227,-0.2512983,554.8666,0.000398883127243718
"87",2016,"United States",61,222943,1.373549,1.47634,0.4023029,1.618124,49493.65,0.00027361253773386
"88",2016,"Vietnam",2,3665,-0.452351,0.0194756,0.2335919,0.0752823,1725.75,0.000545702592087312
"89",2016,"Zambia",2,1082,-0.401749,-0.6601837,0.142808,-0.3005686,1017.512,0.00184842883548983
"90",2016,"Zimbabwe",11,6623,-1.259222,-1.158399,-0.6199379,-1.368501,1257.988,0.00166087875585082
"91",2017,"Afghanistan",8,4963,-1.515626,-1.325545,-2.801084,-1.562423,486.0025,0.00161192826919202
"92",2017,"Armenia",11,2292,-0.5633132,-0.1026952,-0.6207712,-0.1606279,3514.683,0.00479930191972077
