"","Year","StudentProtestCount","AllProtestCount","Control.of.Corruption..Estimate","Government.Effectiveness..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate.1","income","protest.ratio","selectedmodelpred","Ridge","Lasso","Mixed"
"3",2015,29,4623,-0.8084212,-0.723855,-1.212018,-0.7513467,1219.151,0.00627298291152931,0.00232447453273289,0.00233404197414545,0.00238150410668867,0.00235290001818946
"4",2015,1,408,-0.5508423,-0.6198767,-0.013514,-0.5360809,958.778,0.00245098039215686,0.00364124714857708,0.00287975803583476,0.00328020073064797,0.00354127561536366
"5",2015,3,10403,1.887181,1.761729,1.274698,1.84192,35263.23,0.000288378352398347,0.000855104753036136,0.000598739984952154,0.000752708619609537,0.000821035841921185
"6",2015,1,3535,1.280415,1.085782,0.4334392,1.343957,11235.79,0.000282885431400283,0.00539867262959696,0.00169301033855247,0.00363209550969824,0.00472858616256368
"8",2015,1,18638,1.286498,1.448122,0.1067064,1.398506,30879.84,5.36538255177594e-05,0.000704076447328143,0.000613074440767245,0.000697799010049863,0.000701885977044626
"11",2015,1,2558,-0.7332659,-0.7112794,-0.6550602,-0.9473416,3416.109,0.000390930414386239,0.00148979501368467,0.00217101045400507,0.00175965622330161,0.00158630379961324
"12",2015,2,1648,-1.237718,-2.016466,-0.6708382,-1.180691,1329.526,0.00121359223300971,0.00541798381079093,0.00355810779256517,0.00393089653979609,0.00490662143388104
"15",2015,6,31487,0.9433662,1.387448,-1.094913,1.162157,30811.09,0.000190554832152952,0.000423478320279652,0.000495831688128326,0.000492004114727107,0.000443884862328909
"18",2015,8,623,-0.6454833,-1.357274,-0.8180257,-0.8566647,389.9621,0.0128410914927769,0.00461625703771166,0.00306648205176087,0.00367843240708723,0.00430407701160429
"27",2015,2,4106,-0.4534664,0.1119681,-0.8556625,-0.3429787,3045.639,0.000487092060399416,0.00159102531277189,0.0018880692429739,0.00187878037517168,0.00168760215396147
"30",2015,7,3268,-0.3441233,-0.0095256,0.0903681,0.0372322,3476.395,0.00214198286413709,0.00387739983757857,0.00247906033762019,0.00331099608976264,0.00369545514229482
"32",2015,1,2861,-0.4934061,0.3498439,-0.9944293,-0.1477922,4463.394,0.00034952813701503,0.00145749540418141,0.00169733010190405,0.0017351017806035,0.00154805491853131
"36",2015,4,639,-0.3412287,-0.5559088,0.1516949,-0.2297964,1079.388,0.00625978090766823,0.0057474235557418,0.0030988305114762,0.00437050274975679,0.00527687738614525
"38",2016,2,6977,-1.526172,-1.226401,-2.671054,-1.498478,478.7606,0.000286656155940949,0.00105562950224381,0.0020370114629048,0.00141348850089305,0.00116687837239953
"41",2016,13,7697,-0.8569472,-0.678781,-1.261937,-0.6636689,1359.057,0.00168896972846564,0.00263913065727924,0.00247416535527713,0.0025896678424265,0.00263117192491234
"47",2016,1,1690,0.21198,0.5035605,0.6637695,0.3843882,10207.58,0.000591715976331361,0.00250246538648625,0.00192734017089303,0.002297665056126,0.00244492996049076
"52",2016,5,2591,-0.1489119,-0.1685113,-0.1309286,0.0487039,1541.678,0.00192975685063682,0.0056853034035485,0.00289384328612074,0.00434906477497889,0.00521728514923144
"54",2016,2,996,1.949479,1.385293,1.361624,1.519659,49904.75,0.00200803212851406,0.000237319074627477,0.000351463279330589,0.000254668345229328,0.000244151775464236
"55",2016,506,64934,-0.2821474,0.0749455,-0.9538398,-0.0289695,1505.454,0.00779252779745588,0.00332800939034164,0.00231256590798451,0.0030718100535015,0.00324390931813858
"57",2016,5,4470,1.692659,1.364627,0.8478189,1.502176,36254.02,0.00111856823266219,0.00069197031092757,0.000598342035073184,0.000637594966757056,0.000674742724999815
"58",2016,9,30747,1.186837,1.345055,-0.7945364,1.072231,32061.78,0.000292711484047224,0.000378931330441246,0.000509393954004724,0.000455047697677855,0.000402180751727754
"59",2016,3,14115,0.1159535,0.5785035,0.3694153,0.3939919,25499.98,0.000212539851222104,0.000611694081391175,0.000928876916368872,0.000705172801306842,0.00064489429836513
"62",2016,14,678,-0.7214805,-1.278961,-0.4374078,-0.9453741,379.5684,0.0206489675516224,0.00405533132516133,0.00329822593430675,0.00346788952300212,0.00387757225033859
"63",2016,1,3537,-1.6265,-1.891865,-2.28333,-1.817025,3736.815,0.000282725473565168,0.00107519047047221,0.00216326506440185,0.0013301061492177,0.00116113313146795
"69",2016,1,2591,-0.7997717,-0.8265509,-0.846812,-0.795664,845.4549,0.000385951370127364,0.00279102216190735,0.00272572801139072,0.00272917099977205,0.00278507256098133
"72",2016,29,27472,-0.8753213,-0.6534616,-2.483173,-0.8045743,1266.013,0.00105562026790914,0.00168741861701358,0.00195540624272185,0.0019009567384025,0.00175565737095961
"76",2016,2,8189,0.7813226,0.6533463,0.507242,0.6099276,10463.5,0.000244230064720967,0.00293935349282833,0.00182159599152811,0.00252505208831442,0.00280396754693964
"80",2016,498,15266,0.1184792,0.3061665,-0.141504,0.1161583,4705.765,0.0326215118564129,0.00281300303022193,0.00215037678223988,0.00267665825055249,0.00277628692767356
"81",2016,3,2938,-0.3106176,-0.0263917,-0.0040295,0.1105179,3511.296,0.0010211027910143,0.00462413854738429,0.00265322989332889,0.00370851760597794,0.0043121319969753
"82",2016,5,4114,-1.525485,-1.515171,-2.337218,-1.258443,950.3749,0.00121536217792902,0.00223750917991388,0.00248229486396368,0.00223262053139214,0.00224163451599539
"88",2016,2,3665,-0.452351,0.0194756,0.2335919,0.0752823,1725.75,0.000545702592087312,0.00498281084013701,0.0029263161771209,0.00405611574727062,0.00467381565321207
"92",2017,11,2292,-0.5633132,-0.1026952,-0.6207712,-0.1606279,3514.683,0.00479930191972077,0.00306112007876154,0.00246586913582818,0.00283881837726993,0.00299386595433102
"95",2017,1,4205,-0.2574071,-0.3413015,-0.0534834,-0.8187015,4752.093,0.000237812128418549,0.00130803752005256,0.00225691675635731,0.0016519576586101,0.00142604983521711
"96",2017,6,5183,1.447792,1.278846,0.4281858,1.358459,36236.86,0.00115763071580166,0.000592321218432481,0.000596826399970541,0.000575635320587955,0.00058744080731114
"98",2017,1,4223,1.106465,0.9961624,0.4171355,1.149239,11759.33,0.000236798484489699,0.00455954137067953,0.00183360090360922,0.00328024285770701,0.0040867184448747
"100",2017,1,1317,2.23999,1.787519,0.8684149,1.847278,49141.54,0.000759301442672741,0.000269193668601213,0.000335918089203416,0.00028104194390831,0.00027343906088388
"109",2017,1,461,-0.6652668,-1.334823,-0.333085,-0.949563,359.1917,0.00216919739696312,0.00460020105992534,0.00361373218870602,0.00378693973281655,0.00434398911759529
"112",2017,2,20455,-0.8388868,0.0510241,-0.7974465,-0.5586059,7289.786,9.77756049865559e-05,0.000926098061025995,0.00175391261667336,0.00125589552634294,0.00103016373582722
"114",2017,1,5330,-0.1428196,-0.1932489,-0.3739875,-0.1665348,2663.706,0.000187617260787992,0.00375605496147743,0.00267080320330684,0.0032916941111692,0.00360767116867846
"120",2017,1,578,0.6268088,0.2621303,0.0880958,0.1211631,609.8843,0.00173010380622837,0.00459612096132893,0.0027898485966124,0.003986698228147,0.00439937819623287
"123",2017,1,21587,0.5475208,1.038661,0.2828842,1.059366,23801.74,4.63241765877611e-05,0.0013220659515438,0.00105502780428811,0.00119741143386655,0.00128080841234763
"124",2017,6,2900,-0.4532179,-0.1512185,-0.0711655,0.0484503,3669.092,0.00206896551724138,0.00494454910386382,0.00286128354469841,0.00386404679851911,0.00457094854829839
"131",2017,3,3801,-1.271278,-1.182262,-0.7087693,-1.373646,1050.11,0.000789265982636148,0.00168018438770072,0.00288639077301479,0.0019892756005755,0.0017931471034394
"140",2018,2,2465,-0.4833753,-0.6104851,-1.279617,-0.428142,649.8547,0.000811359026369168,0.00424954813696308,0.00292976478228062,0.00359023517819073,0.00402363495177211
"147",2018,2,4974,1.571588,1.416743,1.021112,1.450442,42179.3,0.000402090872537193,0.000411225059388393,0.000521943382423682,0.000420221257694014,0.000415511001476526
"152",2018,6,3250,-0.8510734,-0.4115029,-1.184091,-0.411006,1478.424,0.00184615384615385,0.00328827457796702,0.00275438891365549,0.00303833490129072,0.00320899808063017
"153",2018,1,460,-0.849687,-1.33557,-0.2117113,-0.9896947,398.2174,0.00217391304347826,0.00459797073366958,0.00390255814817412,0.00382674529154093,0.0043598584527724
