"","Year","StudentProtestCount","AllProtestCount","Control.of.Corruption..Estimate","Government.Effectiveness..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate.1","income","protest.ratio","selectedmodelpred","Ridge","Lasso","Mixed"
"68",2016,1,392,0.3329011,0.1670501,0.7100897,0.3626263,3855.738,0.00255102040816327,0.00612465506866958,0.00283107470089953,0.00449888437637889,0.0055530096880272
"167",2018,3,2723,-0.3320415,-0.232434,-0.1452709,0.0257045,3656.207,0.00110172603745869,0.00544275651889797,0.00304588741651559,0.00411724451139326,0.00497572811944792
"129",2017,64,201579,1.384251,1.557018,0.2918175,1.649322,51488.34,0.00031749338968841,0.00018884339142897,0.00029786106444889,0.000210508849641036,0.00019590942414692
"162",2018,10,4515,-0.5422267,0.0531931,-1.092062,-0.4749934,3283.595,0.00221483942414175,0.00150083307730974,0.00212806352471128,0.00183257692643618,0.00160893237153909
"215",2020,1,2426,-1.475405,-1.523115,-2.729808,-1.807697,475.7459,0.000412201154163232,0.00107392549481371,0.00258931621440911,0.00146106607785576,0.00119436521115788
"43",2016,4,504,-0.5133145,-0.5643299,-0.0020272,-0.6087622,968.5366,0.00793650793650794,0.0031818506364434,0.00293652751939866,0.00304704712604299,0.00315919768013414
"14",2015,143,46133,-0.3519882,0.0900683,-0.9484934,-0.0474092,1405.18,0.00309973337957644,0.00304121401526598,0.00217619573213919,0.00288900674743738,0.00299374089197196
"210",2019,8,16528,-1.365432,-1.622059,-1.701787,-1.140721,520.1662,0.000484027105517909,0.00411255482925514,0.00354998730719039,0.00341469586866948,0.00387906386161176
"187",2019,4,13525,1.903284,1.531162,0.5743086,1.620687,39618.28,0.000295748613678373,0.00058556134486867,0.000571691579966858,0.000549461818443261,0.00057347339260614
"51",2016,3,754,0.6854092,0.5179425,-0.3132915,0.3836238,3259.553,0.00397877984084881,0.00380080926234939,0.00216409376245939,0.00332217157483436,0.00363882095755385
"85",2016,2,2459,-0.3888684,0.3417524,-0.9885814,-0.0049648,4629.461,0.000813338755591704,0.00194409631098169,0.00185813341445071,0.00208375337413868,0.0019920236472881
"21",2015,2,3648,-0.2202772,-0.0623169,-0.3414874,-0.0890306,2513.511,0.000548245614035088,0.00338183945845573,0.00235537101650261,0.00305803035851691,0.00328241761053138
"106",2017,1,5135,1.573725,1.306135,1.002435,1.418789,38274.42,0.000194741966893866,0.000584366804687542,0.000597949248044325,0.00055775567582074,0.000577117337873324
"182",2019,21,28521,-0.2951186,0.5170006,-0.2566892,-0.2746037,7551.083,0.000736299568738824,0.00102579310921382,0.00190676699523778,0.00139202805980509,0.00114149985899003
"74",2016,2,4239,-0.3672633,-0.1788173,-0.2017269,-0.4821758,5244.772,0.000471809389006841,0.00170317179879582,0.00213036640398386,0.00191144660322416,0.00178135475418633
"7",2015,8,16748,-0.2820595,0.4075751,-0.5502946,-0.4098733,6039.743,0.000477668975400048,0.000820941829690968,0.00152770632948393,0.00119585286060976,0.000935578537830421
"73",2016,15,576,-0.9332389,-0.7375593,-0.5047721,-0.7766212,2074.527,0.0260416666666667,0.00247042225656996,0.00268090633159304,0.00250028864746399,0.00249660386791038
"79",2016,9,330,-0.8189905,-1.170724,-0.1599265,-0.7775531,367.0428,0.0272727272727273,0.00495770973833052,0.00350488077926527,0.00397187855695599,0.00463871362639403
"213",2019,37,145670,1.215634,1.488845,0.1349753,1.46136,55401.59,0.000253998764330336,0.000115480322087226,0.000270637579573728,0.00014508489743919,0.00012473767958768
"37",2015,2,2534,-1.310675,-1.158085,-0.6181563,-1.317583,1250.123,0.000789265982636148,0.00161715915030861,0.00260138696579026,0.00191017726255276,0.00172510913292216
"105",2017,231,55092,-0.2419506,0.0868715,-0.7648019,-0.0012233,1733.802,0.00419298627749946,0.00365449561523237,0.00250761957433045,0.00328557232077671,0.00353230723959414
"110",2017,2,638,-0.6589844,-0.6580487,-0.251164,-0.3730442,425.8584,0.00313479623824451,0.0055876996708193,0.00341624708531832,0.00435856674871805,0.00516886394570313
"165",2018,1,450,-0.4900537,-1.143427,-0.0852979,-0.7672427,435.4164,0.00222222222222222,0.0054409140506829,0.00388246594551243,0.00428282717099865,0.00506052955694379
"34",2015,1,23729,-0.9800457,-0.5238288,-1.9618,-0.8136155,1934.419,4.21425260230098e-05,0.00139190860455673,0.00186521968249927,0.00168264788450987,0.001485767644167
"222",2020,1,3095,1.566898,1.480219,0.9751874,1.498885,41458.79,0.000323101777059774,0.00048451291200662,0.000598268627258436,0.000479778501783406,0.000484081110438598
"126",2017,1,3185,-0.1285137,-0.0985326,-1.024682,0.0586774,3406.674,0.000313971742543171,0.00417919573417192,0.00240767499851782,0.00341101056918948,0.00390684219171149
"89",2016,2,1082,-0.401749,-0.6601837,0.142808,-0.3005686,1017.512,0.00184842883548983,0.00607853055115951,0.00335649013675196,0.00455277156839416,0.00555368698440915
"172",2018,1,3141,-1.230871,-1.19821,-0.7227737,-1.272543,1063.107,0.000318369945877109,0.00212874733863168,0.00315379995865782,0.00231928173088811,0.0022080330010994
"33",2015,2,1259,-1.051799,-0.4849258,-0.8045017,-0.3903005,643.5504,0.00158856235107228,0.00362015091277166,0.00264461894798244,0.00322780934546272,0.0034965178633331
"84",2016,5,4670,1.98834,2.008059,1.30629,1.947713,64490.41,0.00107066381156317,6.84904380785449e-05,0.000168124841910527,8.97957106393634e-05,7.52427843041833e-05
"163",2018,8,6036,0.6541066,0.5629848,0.4925416,0.4204909,13029.71,0.00132538104705103,0.00210933521701118,0.0018034434148336,0.00198032624417177,0.00207445708146892
"70",2016,2,2115,2.283908,1.842496,1.519183,1.95464,33092.21,0.000945626477541371,0.00123654204042231,0.000712576821204834,0.00100471824617666,0.0011558954856631
"220",2020,185,50935,-0.2448308,0.3865438,-0.8619818,-0.0177096,1681.879,0.0036320801020909,0.00289622132506239,0.00266359449507189,0.00293442943169516,0.0029114783530062
"42",2016,4,6812,1.574584,1.433041,0.4413673,1.429943,34479.34,0.000587199060481503,0.000617453440234302,0.000584593832912532,0.000609485704218578,0.000615383071914142
"166",2018,20,11008,-0.0258746,0.3326285,-0.2277793,-0.1022561,5742.958,0.00181686046511628,0.00188953263883834,0.00214731857054784,0.00207960791267551,0.00195899080659123
"111",2017,2,2818,0.0590311,0.8348417,0.1164103,0.4976971,7220.784,0.0007097232079489,0.00256866587240496,0.00199171024697326,0.0024816843823802,0.00254553874278044
"148",2018,1,13226,0.2476841,0.4415723,0.3423838,0.2688292,28814.12,7.56086496295176e-05,0.000483548725467815,0.000905071123331787,0.000577595455044529,0.000516131423330395
