Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.354829,-1.342216,-1.526172,-1.515626,-1.487624,-1.400733,-1.475405
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-1.332015,-1.323176,-1.226401,-1.325545,-1.453096,-1.463065,-1.523115
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.411068,-2.571222,-2.671054,-2.801084,-2.763864,-2.655531,-2.729808
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.445761,-1.504086,-1.498478,-1.562423,-1.664038,-1.713714,-1.807697
Algeria,DZA,Control of Corruption: Estimate,CC.EST,-0.5999988,-0.6456115,-0.6777601,-0.6018301,-0.65687,-0.6211485,-0.6418455
Algeria,DZA,Government Effectiveness: Estimate,GE.EST,-0.478006,-0.5011278,-0.5313044,-0.5919687,-0.5273783,-0.5163999,-0.5258437
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.190535,-1.09016,-1.097526,-0.9157991,-0.8361196,-1.044343,-0.8601653
Algeria,DZA,Rule of Law: Estimate,RL.EST,-0.7732704,-0.8640082,-0.8576039,-0.8636625,-0.7409661,-0.8157083,-0.7803177
Anguilla,AIA,Control of Corruption: Estimate,CC.EST,1.225432,1.218931,1.228804,1.245126,1.239041,1.234696,0.6787988
Anguilla,AIA,Government Effectiveness: Estimate,GE.EST,0.9520539,1.007015,1.328458,0.8380581,0.828413,0.8155248,0.9790366
Anguilla,AIA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.164255,1.249272,1.315344,1.389452,1.287406,1.355694,1.540881
Anguilla,AIA,Rule of Law: Estimate,RL.EST,0.0187731,-0.0393401,-0.0846848,-0.1025973,-0.0985886,0.3557552,0.4361146
Andorra,AND,Control of Corruption: Estimate,CC.EST,1.225432,1.218931,1.228804,1.245126,1.239041,1.234696,1.314374
Andorra,AND,Government Effectiveness: Estimate,GE.EST,1.71831,1.786852,1.860076,1.940301,1.943918,1.908389,1.825594
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.286593,1.391288,1.413419,1.421869,1.417627,1.602202,1.618512
Andorra,AND,Rule of Law: Estimate,RL.EST,1.64189,1.575856,1.578047,1.605818,1.607841,1.580232,1.698638
Argentina,ARG,Control of Corruption: Estimate,CC.EST,-0.5415842,-0.5470773,-0.2839309,-0.2581808,-0.0687873,-0.0762876,-0.1163816
Argentina,ARG,Government Effectiveness: Estimate,GE.EST,-0.1595265,-0.0752744,0.1618781,0.1445933,0.0272682,-0.0869984,-0.2169417
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.0051219,0.0147854,0.2046255,0.1695043,0.0108914,-0.0914442,0.0364368
Argentina,ARG,Rule of Law: Estimate,RL.EST,-0.8861388,-0.7708783,-0.3937469,-0.2492861,-0.2436714,-0.4306342,-0.4693715
Aruba,ABW,Control of Corruption: Estimate,CC.EST,1.019108,1.29756,1.285871,1.294589,1.252447,1.217546,1.235405
Aruba,ABW,Government Effectiveness: Estimate,GE.EST,0.8914645,0.8832577,0.8928662,0.9199638,1.056812,1.029622,1.129532
Aruba,ABW,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.164568,1.230921,1.284199,1.335038,1.356553,1.349796,1.384053
Aruba,ABW,Rule of Law: Estimate,RL.EST,1.038239,1.260903,1.261825,1.335014,1.297677,1.26335,1.306116
Austria,AUT,Control of Corruption: Estimate,CC.EST,1.47129,1.511966,1.539869,1.545208,1.605723,1.557738,1.509674
Austria,AUT,Government Effectiveness: Estimate,GE.EST,1.559177,1.481696,1.510521,1.507205,1.494416,1.527737,1.655057
Austria,AUT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.2707,1.143079,0.9096388,1.046833,0.902334,0.9167479,0.851911
Austria,AUT,Rule of Law: Estimate,RL.EST,1.942881,1.849107,1.800264,1.84235,1.896155,1.904162,1.810441
"Bahamas, The",BHS,Control of Corruption: Estimate,CC.EST,1.313396,1.136198,1.108086,1.176681,1.131582,1.137568,1.137461
"Bahamas, The",BHS,Government Effectiveness: Estimate,GE.EST,0.7287416,0.7124429,0.7191967,0.5790182,0.5372647,0.4858155,0.4521627
"Bahamas, The",BHS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9564701,0.9074765,0.9754187,0.9895855,0.8628951,0.8162377,0.849964
"Bahamas, The",BHS,Rule of Law: Estimate,RL.EST,0.6653499,0.5970145,0.2602585,0.1914401,0.0970907,0.0764876,0.0620066
Bangladesh,BGD,Control of Corruption: Estimate,CC.EST,-0.8869365,-0.8084212,-0.8569472,-0.8317032,-0.8999589,-0.9934731,-0.9782742
Bangladesh,BGD,Government Effectiveness: Estimate,GE.EST,-0.7662596,-0.723855,-0.678781,-0.7350984,-0.7402487,-0.7402849,-0.7878783
Bangladesh,BGD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.8955632,-1.212018,-1.261937,-1.256081,-0.9956784,-0.9329753,-0.9173985
