"","Year","Country","X","CountryCode","StudentProtestCount","AllProtestCount","Control.of.Corruption..Estimate","Government.Effectiveness..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate.1","income"
"1",2014,"Hong Kong SAR China",1,"HK",1,176,NA,NA,NA,NA,NA
"2",2014,"South Africa",2,"SF",3,93,-0.0614517,0.3407953,-0.146389,0.1827036,"5721.967"
"3",2015,"Afghanistan",3,"AF",2,4820,-1.342216,-1.323176,-2.571222,-1.504086,"516.9467"
"4",2015,"Bangladesh",4,"BG",29,4623,-0.8084212,-0.723855,-1.212018,-0.7513467,"1219.151"
"5",2015,"Benin",5,"BN",1,408,-0.5508423,-0.6198767,-0.013514,-0.5360809,"958.778"
"6",2015,"Canada",6,"CA",3,10403,1.887181,1.761729,1.274698,1.84192,"35263.23"
"7",2015,"Chile",7,"CI",1,3535,1.280415,1.085782,0.4334392,1.343957,"11235.79"
"8",2015,"China",8,"CH",8,16748,-0.2820595,0.4075751,-0.5502946,-0.4098733,"6039.743"
"9",2015,"Czechia",9,"EZ",2,2191,NA,NA,NA,NA,NA
"10",2015,"Egypt",10,"EG",1,15718,NA,NA,NA,NA,NA
"11",2015,"France",11,"FR",1,18638,1.286498,1.448122,0.1067064,1.398506,"30879.84"
"12",2015,"Ghana",12,"GH",1,2105,-0.1887468,-0.2224221,-0.0320993,0.142304,"1380.65"
"13",2015,"Greece",13,"GR",3,11132,-0.0873486,0.1770223,-0.2302524,0.2769418,"14989.53"
"14",2015,"Guatemala",14,"GT",1,2558,-0.7332659,-0.7112794,-0.6550602,-0.9473416,"3416.109"
"15",2015,"Haiti",15,"HA",2,1648,-1.237718,-2.016466,-0.6708382,-1.180691,"1329.526"
"16",2015,"Honduras",16,"HO",1,1887,-0.566732,-0.8218005,-0.4689144,-0.9256861,"2009.239"
"17",2015,"Hong Kong SAR China",17,"HK",1,1623,NA,NA,NA,NA,NA
"18",2015,"India",18,"IN",143,46133,-0.3519882,0.0900683,-0.9484934,-0.0474092,"1405.18"
"19",2015,"Iran",19,"IR",2,11178,NA,NA,NA,NA,NA
"20",2015,"Israel",20,"IS",6,31487,0.9433662,1.387448,-1.094913,1.162157,"30811.09"
"21",2015,"Kenya",21,"KE",13,2696,-1.013617,-0.3015067,-1.244406,-0.4882332,"1090.263"
"22",2015,"Lebanon",22,"LE",1,5039,-0.8838731,-0.4745394,-1.702587,-0.8257188,"6204.191"
"23",2015,"Liberia",23,"LI",8,623,-0.6454833,-1.357274,-0.8180257,-0.8566647,"389.9621"
"24",2015,"Malawi",24,"MI",1,458,-0.7666516,-0.6664509,0.0318961,-0.3069656,"299.8452"
"25",2015,"Mexico",25,"MX",11,12771,-0.7660108,0.2092917,-0.7986991,-0.4471673,"7625.253"
"26",2015,"Morocco",26,"MO",2,3648,-0.2202772,-0.0623169,-0.3414874,-0.0890306,"2513.511"
"27",2015,"Myanmar (Burma)",27,"BM",20,2832,NA,NA,NA,NA,NA
"28",2015,"Nepal",28,"NP",2,4370,-0.5780753,-1.053868,-0.9983346,-0.6769011,"856.5601"
"29",2015,"Netherlands",29,"NL",8,3154,1.875101,1.859105,0.9261193,1.942948,"37497.22"
"30",2015,"Nigeria",30,"NI",17,14582,-1.079542,-0.9590327,-1.925443,-0.9616836,"2299.911"
"31",2015,"Pakistan",31,"PK",20,17366,-0.8108425,-0.667757,-2.482708,-0.766732,"1256.6"
"32",2015,"Papua New Guinea",32,"PP",2,199,-0.9399223,-0.6067827,-0.4221483,-0.8693526,"2195.424"
"33",2015,"Philippines",33,"RP",2,4106,-0.4534664,0.1119681,-0.8556625,-0.3429787,"3045.639"
"34",2015,"Saudi Arabia",34,"SA",2,6621,0.0522682,0.1996553,-0.626399,0.1177256,"16895.94"
"35",2015,"South Africa",35,"SF",157,11801,0.0252705,0.2915252,-0.2129929,0.0881371,"5190.808"
"36",2015,"Sri Lanka",36,"CE",7,3268,-0.3441233,-0.0095256,0.0903681,0.0372322,"3476.395"
"37",2015,"Sudan",37,"SU",5,2621,-1.466719,-1.476073,-2.162183,-1.211051,"1183.458"
"38",2015,"Syria",38,"SY",6,15798,NA,NA,NA,NA,NA
"39",2015,"Taiwan",39,"TW",3,1596,NA,NA,NA,NA,NA
"40",2015,"Thailand",40,"TH",1,2861,-0.4934061,0.3498439,-0.9944293,-0.1477922,"4463.394"
"41",2015,"Turkey",41,"TU",1,18728,-0.1543013,0.2227048,-1.493914,-0.1131079,NA
"42",2015,"Uganda",42,"UG",2,1259,-1.051799,-0.4849258,-0.8045017,-0.3903005,"643.5504"
"43",2015,"Ukraine",43,"UP",1,23729,-0.9800457,-0.5238288,-1.9618,-0.8136155,"1934.419"
"44",2015,"United Kingdom",44,"UK",11,25682,1.872378,1.735867,0.5177479,1.805544,NA
"45",2015,"United States",45,"US",60,134253,1.39741,1.463184,0.6780624,1.595975,"49198.88"
"46",2015,"Venezuela",46,"VE",2,10647,NA,NA,NA,NA,NA
"47",2015,"Yemen",47,"YM",1,7226,NA,NA,NA,NA,NA
