"","Year","Country","CountryCode","StudentProtestCount","AllProtestCount","Control of Corruption: Estimate","Government Effectiveness: Estimate","Political Stability and Absence of Violence/Terrorism: Estimate","Political Stability and Absence of Violence/Terrorism: Estimate.1"
"1",2014,"Hong Kong SAR China","HK",1,176,NA,NA,NA,NA
"2",2014,"South Africa","SF",3,93,"-0.0614517","0.3407953","-0.146389","0.1827036"
"3",2015,"Afghanistan","AF",2,4820,"-1.342216","-1.323176","-2.571222","-1.504086"
"4",2015,"Bangladesh","BG",29,4623,"-0.8084212","-0.723855","-1.212018","-0.7513467"
"5",2015,"Benin","BN",1,408,"-0.5508423","-0.6198767","-0.013514","-0.5360809"
"6",2015,"Canada","CA",3,10403,"1.887181","1.761729","1.274698","1.84192"
"7",2015,"Chile","CI",1,3535,"1.280415","1.085782","0.4334392","1.343957"
"8",2015,"China","CH",8,16748,"-0.2820595","0.4075751","-0.5502946","-0.4098733"
"9",2015,"Czechia","EZ",2,2191,NA,NA,NA,NA
"10",2015,"Egypt","EG",1,15718,NA,NA,NA,NA
"11",2015,"France","FR",1,18638,"1.286498","1.448122","0.1067064","1.398506"
"12",2015,"Ghana","GH",1,2105,"-0.1887468","-0.2224221","-0.0320993","0.142304"
"13",2015,"Greece","GR",3,11132,"-0.0873486","0.1770223","-0.2302524","0.2769418"
"14",2015,"Guatemala","GT",1,2558,"-0.7332659","-0.7112794","-0.6550602","-0.9473416"
"15",2015,"Haiti","HA",2,1648,"-1.237718","-2.016466","-0.6708382","-1.180691"
"16",2015,"Honduras","HO",1,1887,"-0.566732","-0.8218005","-0.4689144","-0.9256861"
"17",2015,"Hong Kong SAR China","HK",1,1623,NA,NA,NA,NA
"18",2015,"India","IN",143,46133,"-0.3519882","0.0900683","-0.9484934","-0.0474092"
"19",2015,"Iran","IR",2,11178,NA,NA,NA,NA
"20",2015,"Israel","IS",6,31487,"0.9433662","1.387448","-1.094913","1.162157"
"21",2015,"Kenya","KE",13,2696,"-1.013617","-0.3015067","-1.244406","-0.4882332"
"22",2015,"Lebanon","LE",1,5039,"-0.8838731","-0.4745394","-1.702587","-0.8257188"
"23",2015,"Liberia","LI",8,623,"-0.6454833","-1.357274","-0.8180257","-0.8566647"
"24",2015,"Malawi","MI",1,458,"-0.7666516","-0.6664509","0.0318961","-0.3069656"
"25",2015,"Mexico","MX",11,12771,"-0.7660108","0.2092917","-0.7986991","-0.4471673"
"26",2015,"Morocco","MO",2,3648,"-0.2202772","-0.0623169","-0.3414874","-0.0890306"
"27",2015,"Myanmar (Burma)","BM",20,2832,NA,NA,NA,NA
"28",2015,"Nepal","NP",2,4370,"-0.5780753","-1.053868","-0.9983346","-0.6769011"
"29",2015,"Netherlands","NL",8,3154,"1.875101","1.859105","0.9261193","1.942948"
"30",2015,"Nigeria","NI",17,14582,"-1.079542","-0.9590327","-1.925443","-0.9616836"
"31",2015,"Pakistan","PK",20,17366,"-0.8108425","-0.667757","-2.482708","-0.766732"
"32",2015,"Papua New Guinea","PP",2,199,"-0.9399223","-0.6067827","-0.4221483","-0.8693526"
"33",2015,"Philippines","RP",2,4106,"-0.4534664","0.1119681","-0.8556625","-0.3429787"
"34",2015,"Saudi Arabia","SA",2,6621,"0.0522682","0.1996553","-0.626399","0.1177256"
"35",2015,"South Africa","SF",157,11801,"0.0252705","0.2915252","-0.2129929","0.0881371"
"36",2015,"Sri Lanka","CE",7,3268,"-0.3441233","-0.0095256","0.0903681","0.0372322"
"37",2015,"Sudan","SU",5,2621,"-1.466719","-1.476073","-2.162183","-1.211051"
"38",2015,"Syria","SY",6,15798,NA,NA,NA,NA
"39",2015,"Taiwan","TW",3,1596,NA,NA,NA,NA
"40",2015,"Thailand","TH",1,2861,"-0.4934061","0.3498439","-0.9944293","-0.1477922"
"41",2015,"Turkey","TU",1,18728,"-0.1543013","0.2227048","-1.493914","-0.1131079"
"42",2015,"Uganda","UG",2,1259,"-1.051799","-0.4849258","-0.8045017","-0.3903005"
"43",2015,"Ukraine","UP",1,23729,"-0.9800457","-0.5238288","-1.9618","-0.8136155"
"44",2015,"United Kingdom","UK",11,25682,"1.872378","1.735867","0.5177479","1.805544"
"45",2015,"United States","US",60,134253,"1.39741","1.463184","0.6780624","1.595975"
"46",2015,"Venezuela","VE",2,10647,NA,NA,NA,NA
"47",2015,"Yemen","YM",1,7226,NA,NA,NA,NA
"48",2015,"Zambia","ZA",4,639,"-0.3412287","-0.5559088","0.1516949","-0.2297964"
"49",2015,"Zimbabwe","ZI",2,2534,"-1.310675","-1.158085","-0.6181563","-1.317583"
"50",2016,"Afghanistan","AF",2,6977,"-1.526172","-1.226401","-2.671054","-1.498478"
"51",2016,"Argentina","AR",1,7476,"-0.2839309","0.1618781","0.2046255","-0.3937469"
"52",2016,"Australia","AS",5,11320,"1.816108","1.568043","1.047958","1.755667"
"53",2016,"Bangladesh","BG",13,7697,"-0.8569472","-0.678781","-1.261937","-0.6636689"
"54",2016,"Belgium","BE",4,6812,"1.574584","1.433041","0.4413673","1.429943"
"55",2016,"Benin","BN",4,504,"-0.5133145","-0.5643299","-0.0020272","-0.6087622"
"56",2016,"Chile","CI",2,3904,"1.140084","1.010372","0.4131105","1.129331"
"57",2016,"China","CH",22,22130,"-0.2539508","0.3545941","-0.499395","-0.3345477"
"58",2016,"Colombia","CO",2,5218,"-0.3241391","0.0152157","-0.8824593","-0.2789232"
"59",2016,"Côte d’Ivoire","IV",2,999,NA,NA,NA,NA
"60",2016,"Croatia","HR",1,1690,"0.21198","0.5035605","0.6637695","0.3843882"
"61",2016,"Cuba","CU",3,4435,"0.1692236","-0.1051888","0.6853639","-0.4425099"
"62",2016,"Egypt","EG",3,20282,NA,NA,NA,NA
"63",2016,"Eswatini","WZ",5,140,"-0.4499788","-0.5785232","-0.4887168","-0.3686543"
"64",2016,"Ethiopia","ET",3,4994,"-0.416919","-0.6384845","-1.619813","-0.492503"
"65",2016,"France","FR",8,29047,"1.370064","1.416434","-0.0953591","1.386726"
"66",2016,"Georgia","GG",3,754,"0.6854092","0.5179425","-0.3132915","0.3836238"
"67",2016,"Ghana","GH",5,2591,"-0.1489119","-0.1685113","-0.1309286","0.0487039"
"68",2016,"Greece","GR",2,16652,"-0.1016083","0.1577258","-0.1215992","0.1353244"
"69",2016,"Hong Kong SAR China","HK",2,2300,NA,NA,NA,NA
