CountryCode,Year,StudentProtestCount,AllProtestCount
IN,1920,4,1682
,2014,2,
HK,2014,1,176
SF,2014,3,93
,2015,143,
AF,2015,2,4820
BG,2015,29,4623
BM,2015,20,2832
BN,2015,1,408
CA,2015,3,10403
CE,2015,7,3268
CH,2015,8,16748
CI,2015,1,3535
EG,2015,1,15718
EZ,2015,2,2191
FR,2015,1,18638
GH,2015,1,2105
GR,2015,3,11132
GT,2015,1,2558
HA,2015,2,1648
HK,2015,1,1623
HO,2015,1,1887
IN,2015,143,46133
IR,2015,2,11178
IS,2015,6,31487
KE,2015,13,2696
LE,2015,1,5039
LI,2015,8,623
MI,2015,1,458
MO,2015,2,3648
MX,2015,11,12771
NI,2015,17,14582
NL,2015,8,3154
NP,2015,2,4370
PK,2015,20,17366
PP,2015,2,199
RP,2015,2,4106
SA,2015,2,6621
SF,2015,157,11801
SU,2015,5,2621
SY,2015,6,15798
TH,2015,1,2861
TU,2015,1,18728
TW,2015,3,1596
UG,2015,2,1259
UK,2015,11,25682
UP,2015,1,23729
US,2015,60,134253
VE,2015,2,10647
YM,2015,1,7226
ZA,2015,4,639
ZI,2015,2,2534
,2016,238,
AF,2016,2,6977
AR,2016,1,7476
AS,2016,5,11320
BE,2016,4,6812
BG,2016,13,7697
BM,2016,1,2043
BN,2016,4,504
CE,2016,3,2938
CH,2016,22,22130
CI,2016,2,3904
CO,2016,2,5218
CU,2016,3,4435
EG,2016,3,20282
EI,2016,5,4470
ET,2016,3,4994
FR,2016,8,29047
GG,2016,3,754
GH,2016,5,2591
GR,2016,2,16652
HK,2016,2,2300
HR,2016,1,1690
IC,2016,2,996
IN,2016,506,64934
IS,2016,9,30747
IT,2016,3,14115
IV,2016,2,999
IZ,2016,4,13475
JA,2016,3,7680
KE,2016,8,5566
KS,2016,1,7353
LI,2016,14,678
LY,2016,1,3537
MI,2016,3,797
MO,2016,3,5070
MX,2016,5,21090
MZ,2016,2,454
NI,2016,82,17321
NP,2016,1,2591
NZ,2016,2,2115
PE,2016,2,4239
PK,2016,29,27472
PL,2016,2,8189
PP,2016,15,576
QA,2016,2,1059
RP,2016,3,7311
RS,2016,3,33517
SA,2016,1,12253
SF,2016,498,15266
SL,2016,9,330
SU,2016,5,4114
SW,2016,5,6633
SZ,2016,5,4670
TD,2016,1,587
TH,2016,2,2459
TU,2016,2,27516
TW,2016,1,2707
UG,2016,1,2507
UK,2016,6,35579
US,2016,61,222943
VM,2016,2,3665
WA,2016,1,392
WZ,2016,5,140
YM,2016,3,6586
ZA,2016,2,1082
ZI,2016,11,6623
,2017,168,
AF,2017,8,4963
AM,2017,11,2292
AS,2017,1,10215
BE,2017,6,5183
BG,2017,29,5972
BM,2017,2,1925
BO,2017,1,4205
CB,2017,1,909
CE,2017,6,2900
CH,2017,9,17449
CI,2017,1,4223
DA,2017,1,1317
EI,2017,1,5135
ET,2017,2,1505
FR,2017,2,24394
GA,2017,3,849
GM,2017,1,19962
GV,2017,6,1042
HK,2017,2,1589
IN,2017,231,55092
IR,2017,4,14031
IT,2017,2,12574
IV,2017,8,1153
JM,2017,1,597
LI,2017,1,461
LO,2017,2,868
MI,2017,2,638
MJ,2017,1,350
MO,2017,1,5330
MX,2017,2,20455
MY,2017,2,2818
NG,2017,2,494
NI,2017,55,16155
NL,2017,3,5531
OD,2017,2,627
PK,2017,65,18800
PL,2017,18,7521
RS,2017,5,37794
RW,2017,1,578
SF,2017,64,13943
SL,2017,1,376
SP,2017,1,21587
SU,2017,3,2652
SY,2017,2,14263
TS,2017,1,3185
TU,2017,1,22199
UG,2017,1,1444
UK,2017,4,33002
UP,2017,1,23382
US,2017,64,201579
VE,2017,9,31207
VM,2017,2,2752
ZI,2017,3,3801
,2018,201,
AF,2018,1,4263
AM,2018,8,6197
AS,2018,3,9094
BF,2018,1,283
BG,2018,220,7227
BM,2018,2,1243
CA,2018,2,12408
CE,2018,3,2723
CH,2018,3,15862
CI,2018,1,4076
CO,2018,2,4603
EI,2018,2,4974
ET,2018,2,2465
EZ,2018,3,3007
FR,2018,8,27317
GH,2018,2,2624
GM,2018,2,17390
GR,2018,2,12021
ID,2018,1,5203
IN,2018,207,56339
IT,2018,1,13226
JA,2018,1,5128
JM,2018,1,390
KE,2018,6,3250
KU,2018,1,908
KZ,2018,1,713
LI,2018,1,460
MI,2018,1,777
MX,2018,3,15256
MY,2018,1,2398
NI,2018,20,15539
NL,2018,3,3316
NP,2018,4,1640
NU,2018,8,12634
OD,2018,9,397
PK,2018,56,18813
PL,2018,8,6036
QA,2018,2,1099
RP,2018,10,4515
RS,2018,2,36312
SF,2018,20,11008
SL,2018,1,450
SU,2018,10,3628
SY,2018,2,13611
TU,2018,1,15655
UK,2018,5,30574
UP,2018,1,24129
US,2018,50,170191
VE,2018,1,10712
VM,2018,1,3260
ZI,2018,1,3141
,2019,192,
AF,2019,4,3217
AG,2019,1,10221
AM,2019,2,2161
AS,2019,1,9940
BG,2019,112,6472
BN,2019,11,521
BO,2019,2,1830
CA,2019,13,12279
CB,2019,1,486
CE,2019,3,2369
CH,2019,21,28521
CO,2019,1,6581
EI,2019,2,6035
ET,2019,2,2096
EZ,2019,1,3063
FI,2019,1,896
GA,2019,2,494
GH,2019,3,2166
GM,2019,4,13525
HK,2019,13,19347
ID,2019,3,7186
IN,2019,283,63063
IR,2019,6,14808
IS,2019,10,25288
IT,2019,1,11804
IZ,2019,4,14380
KE,2019,8,2657
KN,2019,2,1178
KS,2019,1,4089
KU,2019,2,501
LI,2019,5,604
MI,2019,2,1632
